STATION CODE,LOCATIONS,STATE,LATITUDE,LONGITUDE,YEAR,mean_temp,Qi_temp,WiQi_temp,mean_ph,Qi_ph,WiQi_ph,mean_conductivity,Qi_conductivity,WiQi_conductivity,mean_bod,Qi_bod,WiQi_bod,mean_nitratenitrite,Qi_nitratenitrite,WiQi_nitratenitrite,mean_fecalcoliform,Qi_fecalcoliform,WiQi_fecalcoliform,WQI
1582,"NEDUMANGAD, THIRUVANANTHAPURAM, KERALA",KERALA,8.608023,77.004626,2014,25.8,103.2,10.32,7.2,13.33333333,1.466666667,160,64,0.256,4,66.66666667,7.333333333,2.7,1.35,0.135,69,345,55.2,74.711
1583,"KUNDARA, KOLLAM DISTT. , KERALA",KERALA,8.960184,76.678809,2014,23,92,9.2,4.7,-153.3333333,-16.86666667,159,63.6,0.2544,0.5,8.333333333,0.916666667,0.8,0.4,0.04,1,5,0.8,-5.6556
1584,"CHERTHALA, ALLEPPY, KERALA",KERALA,9.683637,76.336538,2014,28.3,113.2,11.32,7.7,46.66666667,5.133333333,177,70.8,0.2832,0.8,13.33333333,1.466666667,0,0,0,160,800,128,146.2032
1585,"VYTTILA, ERNAKULAM DISTT. , KERALA",KERALA,9.966654,76.316813,2014,28.6,114.4,11.44,7.7,46.66666667,5.133333333,405,162,0.648,3.1,51.66666667,5.683333333,5.2,2.6,0.26,76,380,60.8,83.96466667
1586,"EDAYAR ERNAKULAM DISTT., KERALA",KERALA,9.872489,76.551713,2014,27.8,111.2,11.12,5.7,-86.66666667,-9.533333333,328,131.2,0.5248,1,16.66666667,1.833333333,5.7,2.85,0.285,7,35,5.6,9.8298
1587,"KALAMASSERY ERNAKULAM DISTT. , KERALA",KERALA,10.057906,76.346362,2014,28,112,11.2,6.9,-6.666666667,-0.733333333,248,99.2,0.3968,0.9,15,1.65,8.1,4.05,0.405,116,580,92.8,105.7184667
1588,"PUNKUNNAM TRISSUR DISTT. , KERALA",KERALA,10.536403,76.198659,2014,29,116,11.6,7.6,40,4.4,270,108,0.432,1,16.66666667,1.833333333,1.5,0.75,0.075,160,800,128,146.3403333
1589,"MALAPURAM , KERALA",KERALA,11.073182,76.074,2014,29.3,117.2,11.72,6.8,-13.33333333,-1.466666667,285,114,0.456,0.6,10,1.1,0.7,0.35,0.035,2,10,1.6,13.44433333
1590,"MAVOOR, KOZHIKKODE DISTT. , KERALA",KERALA,11.267459,75.942523,2014,26,104,10.4,6.7,-20,-2.2,101,40.4,0.1616,0.6,10,1.1,1.6,0.8,0.08,181,905,144.8,154.3416
1591,"KANNUR (MUNICIPALITY) KANNUR DISTTM , KERALA",KERALA,11.874477,75.370366,2014,29,116,11.6,5.5,-100,-11,99,39.6,0.1584,1,16.66666667,1.833333333,3.3,1.65,0.165,2,10,1.6,4.356733333
1592,"PAYYANNUR, KANNUR DISTT. , KERALA",KERALA,12.105069,75.205834,2014,28,112,11.2,6.6,-26.66666667,-2.933333333,164,65.6,0.2624,1.2,20,2.2,2.3,1.15,0.115,1,5,0.8,11.64406667
2308,FATHIMAPURAM (CHANGANASSERY),KERALA,9.443957,76.553158,2014,28.3,113.2,11.32,6.5,-33.33333333,-3.666666667,281,112.4,0.4496,0.4,6.666666667,0.733333333,5.6,2.8,0.28,795,3975,636,645.1162667
2309,KAROOR (PALA),KERALA,9.737247,76.669651,2014,28,112,11.2,5.7,-86.66666667,-9.533333333,93,37.2,0.1488,0.7,11.66666667,1.283333333,2.9,1.45,0.145,640,3200,512,515.2438
2310,VAIKOM,KERALA,9.721645,76.392667,2014,27.5,110,11,6.2,-53.33333333,-5.866666667,157,62.8,0.2512,0.5,8.333333333,0.916666667,2.7,1.35,0.135,655,3275,524,530.4362
2311,VADAVATHOOR (KOTTAYAM),KERALA,9.589686,76.563273,2014,27.3,109.2,10.92,6.2,-53.33333333,-5.866666667,137,54.8,0.2192,0.4,6.666666667,0.733333333,6.8,3.4,0.34,340,1700,272,278.3458667
